"","c.employeeClean.ID.","c.employeeClean.PredictAttrition."
"1",1,"No"
"2",2,"No"
"3",3,"No"
"4",4,"No"
"5",5,"Yes"
"6",6,"No"
"7",7,"No"
"8",8,"No"
"9",9,"Yes"
"10",10,"No"
"11",11,"No"
"12",12,"No"
"13",13,"No"
"14",14,"Yes"
"15",15,"No"
"16",16,"No"
"17",17,"No"
"18",18,"No"
"19",19,"Yes"
"20",20,"No"
"21",21,"No"
"22",22,"No"
"23",23,"No"
"24",24,"No"
"25",25,"No"
"26",26,"No"
"27",27,"No"
"28",28,"No"
"29",29,"No"
"30",30,"No"
"31",31,"No"
"32",32,"No"
"33",33,"No"
"34",34,"No"
"35",35,"No"
"36",36,"No"
"37",37,"No"
"38",38,"No"
"39",39,"No"
"40",40,"Yes"
"41",41,"No"
"42",42,"No"
"43",43,"No"
"44",44,"No"
"45",45,"No"
"46",46,"No"
"47",47,"No"
"48",48,"No"
"49",49,"Yes"
"50",50,"No"
"51",51,"No"
"52",52,"No"
"53",53,"No"
"54",54,"No"
"55",55,"No"
"56",56,"No"
"57",57,"No"
"58",58,"Yes"
"59",59,"No"
"60",60,"Yes"
"61",61,"No"
"62",62,"No"
"63",63,"Yes"
"64",64,"No"
"65",65,"No"
"66",66,"Yes"
"67",67,"No"
"68",68,"No"
"69",69,"No"
"70",70,"No"
"71",71,"No"
"72",72,"No"
"73",73,"No"
"74",74,"Yes"
"75",75,"No"
"76",76,"No"
"77",77,"No"
"78",78,"No"
"79",79,"No"
"80",80,"Yes"
"81",81,"No"
"82",82,"No"
"83",83,"No"
"84",84,"No"
"85",85,"No"
"86",86,"No"
"87",87,"No"
"88",88,"Yes"
"89",89,"No"
"90",90,"No"
"91",91,"Yes"
"92",92,"No"
"93",93,"No"
"94",94,"No"
"95",95,"No"
"96",96,"No"
"97",97,"No"
"98",98,"No"
"99",99,"No"
"100",100,"No"
"101",101,"No"
"102",102,"No"
"103",103,"No"
"104",104,"No"
"105",105,"No"
"106",106,"No"
"107",107,"No"
"108",108,"No"
"109",109,"No"
"110",110,"No"
"111",111,"Yes"
"112",112,"No"
"113",113,"No"
"114",114,"No"
"115",115,"No"
"116",116,"No"
"117",117,"No"
"118",118,"No"
"119",119,"No"
"120",120,"No"
"121",121,"No"
"122",122,"Yes"
"123",123,"No"
"124",124,"No"
"125",125,"No"
"126",126,"No"
"127",127,"No"
"128",128,"No"
"129",129,"No"
"130",130,"No"
"131",131,"No"
"132",132,"No"
"133",133,"No"
"134",134,"No"
"135",135,"No"
"136",136,"No"
"137",137,"Yes"
"138",138,"No"
"139",139,"No"
"140",140,"No"
"141",141,"No"
"142",142,"No"
"143",143,"No"
"144",144,"No"
"145",145,"No"
"146",146,"No"
"147",147,"No"
"148",148,"No"
"149",149,"No"
"150",150,"No"
"151",151,"No"
"152",152,"No"
"153",153,"No"
"154",154,"No"
"155",155,"No"
"156",156,"No"
"157",157,"No"
"158",158,"No"
"159",159,"No"
"160",160,"No"
"161",161,"No"
"162",162,"No"
"163",163,"No"
"164",164,"No"
"165",165,"No"
"166",166,"Yes"
"167",167,"No"
"168",168,"No"
"169",169,"No"
"170",170,"No"
"171",171,"No"
"172",172,"No"
"173",173,"No"
"174",174,"No"
"175",175,"No"
"176",176,"Yes"
"177",177,"No"
"178",178,"Yes"
"179",179,"No"
"180",180,"No"
"181",181,"No"
"182",182,"No"
"183",183,"No"
"184",184,"No"
"185",185,"No"
"186",186,"No"
"187",187,"No"
"188",188,"No"
"189",189,"No"
"190",190,"No"
"191",191,"No"
"192",192,"No"
"193",193,"No"
"194",194,"No"
"195",195,"No"
"196",196,"No"
"197",197,"No"
"198",198,"No"
"199",199,"No"
"200",200,"No"
"201",201,"No"
"202",202,"No"
"203",203,"No"
"204",204,"Yes"
"205",205,"No"
"206",206,"No"
"207",207,"No"
"208",208,"No"
"209",209,"No"
"210",210,"No"
"211",211,"No"
"212",212,"No"
"213",213,"No"
"214",214,"No"
"215",215,"No"
"216",216,"No"
"217",217,"No"
"218",218,"No"
"219",219,"No"
"220",220,"Yes"
"221",221,"No"
"222",222,"No"
"223",223,"No"
"224",224,"No"
"225",225,"No"
"226",226,"No"
"227",227,"No"
"228",228,"Yes"
"229",229,"No"
"230",230,"No"
"231",231,"No"
"232",232,"Yes"
"233",233,"No"
"234",234,"No"
"235",235,"No"
"236",236,"No"
"237",237,"No"
"238",238,"No"
"239",239,"No"
"240",240,"No"
"241",241,"No"
"242",242,"No"
"243",243,"No"
"244",244,"Yes"
"245",245,"No"
"246",246,"No"
"247",247,"No"
"248",248,"Yes"
"249",249,"No"
"250",250,"No"
"251",251,"No"
"252",252,"No"
"253",253,"No"
"254",254,"No"
"255",255,"No"
"256",256,"No"
"257",257,"Yes"
"258",258,"No"
"259",259,"No"
"260",260,"Yes"
"261",261,"Yes"
"262",262,"No"
"263",263,"Yes"
"264",264,"Yes"
"265",265,"No"
"266",266,"No"
"267",267,"No"
"268",268,"No"
"269",269,"No"
"270",270,"No"
"271",271,"No"
"272",272,"No"
"273",273,"No"
"274",274,"No"
"275",275,"No"
"276",276,"No"
"277",277,"No"
"278",278,"No"
"279",279,"Yes"
"280",280,"No"
"281",281,"No"
"282",282,"No"
"283",283,"No"
"284",284,"No"
"285",285,"No"
"286",286,"No"
"287",287,"Yes"
"288",288,"No"
"289",289,"No"
"290",290,"Yes"
"291",291,"No"
"292",292,"No"
"293",293,"No"
"294",294,"No"
"295",295,"No"
"296",296,"No"
"297",297,"No"
"298",298,"No"
"299",299,"Yes"
"300",300,"Yes"
"301",301,"No"
"302",302,"No"
"303",303,"No"
"304",304,"No"
"305",305,"No"
"306",306,"No"
"307",307,"No"
"308",308,"No"
"309",309,"No"
"310",310,"No"
"311",311,"No"
"312",312,"No"
"313",313,"No"
"314",314,"No"
"315",315,"No"
"316",316,"No"
"317",317,"Yes"
"318",318,"No"
"319",319,"No"
"320",320,"Yes"
"321",321,"No"
"322",322,"No"
"323",323,"No"
"324",324,"No"
"325",325,"No"
"326",326,"No"
"327",327,"No"
"328",328,"No"
"329",329,"No"
"330",330,"No"
"331",331,"No"
"332",332,"No"
"333",333,"No"
"334",334,"No"
"335",335,"No"
"336",336,"No"
"337",337,"No"
"338",338,"No"
"339",339,"No"
"340",340,"No"
"341",341,"No"
"342",342,"Yes"
"343",343,"No"
"344",344,"No"
"345",345,"No"
"346",346,"No"
"347",347,"No"
"348",348,"No"
"349",349,"No"
"350",350,"No"
"351",351,"No"
"352",352,"No"
"353",353,"No"
"354",354,"No"
"355",355,"No"
"356",356,"No"
"357",357,"No"
"358",358,"No"
"359",359,"No"
"360",360,"No"
"361",361,"No"
"362",362,"Yes"
"363",363,"No"
"364",364,"No"
"365",365,"No"
"366",366,"No"
"367",367,"No"
"368",368,"No"
"369",369,"No"
"370",370,"No"
"371",371,"No"
"372",372,"No"
"373",373,"No"
"374",374,"No"
"375",375,"Yes"
"376",376,"No"
"377",377,"No"
"378",378,"No"
"379",379,"Yes"
